slide_id,process,status,seg_level,sthresh,mthresh,close,use_otsu,keep_ids,exclude_ids,a_t,a_h,max_n_holes,vis_level,line_thickness,use_padding,contour_fn
TCGA-OR-A5JU-01A-01-TS1.54EBDD13-D343-451A-81A3-0AC6D7867A2D.svs,0,processed,3,8,7,4,False,none,none,100.0,16.0,8,3,250,True,four_pt
TCGA-OR-A5K8-01A-01-TSA.0F67AD1C-0032-41B3-9A70-1C635F0C4ED2.svs,0,processed,3,8,7,4,False,none,none,100.0,16.0,8,3,250,True,four_pt
TCGA-OR-A5KB-11A-01-TSA.4200B785-70DC-46E5-9BED-69915138685D.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
TCGA-OR-A5LT-01A-01-TS1.E6C0DFF3-5AF1-474E-8C5D-345148CBCBCE.svs,0,processed,3,8,7,4,False,none,none,100.0,16.0,8,3,250,True,four_pt
