epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.479,3.53257,5.77493,4.30125,0,0,0,0,3.45417,5.77296,4.15611,0.0973,0.0003,0.0003
2,64.0045,3.54892,5.73773,4.2735,0,0,0,0,3.45549,5.77047,4.15253,0.0936723,0.00067228,0.00067228
3,87.4909,3.54692,5.75396,4.27658,0,0,0,0,3.45682,5.76762,4.14876,0.0900129,0.00101288,0.00101288
